TIME,POSITION,VELOCITY
1.99, -0.407033, -0.913413
2.00, -0.416147, -0.909297
2.01, -0.425219, -0.905091
2.02, -0.434248, -0.900793
2.03, -0.443234, -0.896406
2.04, -0.452176, -0.891929
2.05, -0.461073, -0.887362
2.06, -0.469923, -0.882707
2.07, -0.478727, -0.877964
2.08, -0.487482, -0.873133
2.09, -0.496189, -0.868215
2.10, -0.504846, -0.863209
2.11, -0.513453, -0.858118
2.12, -0.522008, -0.852940
2.13, -0.530511, -0.847678
2.14, -0.538961, -0.842330
2.15, -0.547358, -0.836899
2.16, -0.555699, -0.831383
2.17, -0.563985, -0.825785
2.18, -0.572215, -0.820104
2.19, -0.580387, -0.814341
2.20, -0.588501, -0.808496
2.21, -0.596557, -0.802571
2.22, -0.604552, -0.796565
2.23, -0.612488, -0.790480
2.24, -0.620362, -0.784316
2.25, -0.628174, -0.778073
2.26, -0.635923, -0.771753
2.27, -0.643608, -0.765355
2.28, -0.651230, -0.758881
2.29, -0.658786, -0.752331
2.30, -0.666276, -0.745705
2.31, -0.673700, -0.739005
2.32, -0.681056, -0.732231
2.33, -0.688344, -0.725384
2.34, -0.695563, -0.718465
2.35, -0.702713, -0.711473
2.36, -0.709793, -0.704411
2.37, -0.716801, -0.697278
2.38, -0.723738, -0.690075
2.39, -0.730602, -0.682803
2.40, -0.737394, -0.675463
2.41, -0.744111, -0.668056
2.42, -0.750755, -0.660581
2.43, -0.757323, -0.653041
2.44, -0.763815, -0.645435
2.45, -0.770231, -0.637765
2.46, -0.776570, -0.630031
2.47, -0.782832, -0.622234
2.48, -0.789015, -0.614374
2.49, -0.795119, -0.606454
2.50, -0.801144, -0.598472
2.51, -0.807088, -0.590431
2.52, -0.812952, -0.582331
2.53, -0.818735, -0.574172
2.54, -0.824435, -0.565956
2.55, -0.830054, -0.557684
2.56, -0.835589, -0.549355
2.57, -0.841040, -0.540972
2.58, -0.846408, -0.532535
2.59, -0.851691, -0.524044
2.60, -0.856889, -0.515501
2.61, -0.862001, -0.506907
2.62, -0.867027, -0.498262
2.63, -0.871966, -0.489567
2.64, -0.876818, -0.480823
2.65, -0.881582, -0.472031
2.66, -0.886258, -0.463191
2.67, -0.890846, -0.454306
2.68, -0.895344, -0.445375
2.69, -0.899753, -0.436399
2.70, -0.904072, -0.427380
2.71, -0.908301, -0.418318
2.72, -0.912438, -0.409214
2.73, -0.916485, -0.400069
2.74, -0.920440, -0.390885
2.75, -0.924302, -0.381661
2.76, -0.928073, -0.372399
2.77, -0.931750, -0.363100
2.78, -0.935335, -0.353764
2.79, -0.938825, -0.344393
2.80, -0.942222, -0.334988
2.81, -0.945525, -0.325549
2.82, -0.948733, -0.316078
2.83, -0.951847, -0.306575
2.84, -0.954865, -0.297041
2.85, -0.957787, -0.287478
2.86, -0.960614, -0.277886
2.87, -0.963345, -0.268266
2.88, -0.965979, -0.258619
2.89, -0.968517, -0.248947
2.90, -0.970958, -0.239249
2.91, -0.973302, -0.229528
2.92, -0.975549, -0.219784
2.93, -0.977698, -0.210017
2.94, -0.979749, -0.200230
2.95, -0.981702, -0.190423
2.96, -0.983557, -0.180596
2.97, -0.985314, -0.170752
2.98, -0.986972, -0.160890
2.99, -0.988532, -0.151013
3.00, -0.989992, -0.141120
3.01, -0.991354, -0.131213
3.02, -0.992617, -0.121293
3.03, -0.993780, -0.111361
3.04, -0.994844, -0.101418
3.05, -0.995808, -0.091465
3.06, -0.996673, -0.081502
3.07, -0.997438, -0.071532
3.08, -0.998104, -0.061554
3.09, -0.998669, -0.051570
3.10, -0.999135, -0.041581
3.11, -0.999501, -0.031587
3.12, -0.999767, -0.021591
3.13, -0.999933, -0.011592
3.14, -0.999999, -0.001593
