TIME,POSITION,VELOCITY
8.70, -0.748647, -0.662969
8.71, -0.755239, -0.655450
8.72, -0.761755, -0.647865
8.73, -0.768196, -0.640215
8.74, -0.774560, -0.632501
8.75, -0.780846, -0.624724
8.76, -0.787054, -0.616884
8.77, -0.793183, -0.608983
8.78, -0.799233, -0.601021
8.79, -0.805203, -0.592999
8.80, -0.811093, -0.584917
8.81, -0.816902, -0.576777
8.82, -0.822628, -0.568579
8.83, -0.828273, -0.560325
8.84, -0.833835, -0.552014
8.85, -0.839313, -0.543648
8.86, -0.844707, -0.535228
8.87, -0.850017, -0.526755
8.88, -0.855242, -0.518228
8.89, -0.860382, -0.509650
8.90, -0.865435, -0.501021
8.91, -0.870402, -0.492342
8.92, -0.875282, -0.483613
8.93, -0.880074, -0.474836
8.94, -0.884778, -0.466012
8.95, -0.889394, -0.457141
8.96, -0.893921, -0.448224
8.97, -0.898359, -0.439263
8.98, -0.902706, -0.430257
8.99, -0.906964, -0.421209
9.00, -0.911130, -0.412118
9.01, -0.915206, -0.402987
9.02, -0.919190, -0.393815
9.03, -0.923082, -0.384603
9.04, -0.926882, -0.375353
9.05, -0.930589, -0.366066
9.06, -0.934203, -0.356742
9.07, -0.937724, -0.347382
9.08, -0.941151, -0.337988
9.09, -0.944483, -0.328559
9.10, -0.947722, -0.319098
9.11, -0.950865, -0.309605
9.12, -0.953914, -0.300081
9.13, -0.956867, -0.290527
9.14, -0.959724, -0.280944
9.15, -0.962485, -0.271333
9.16, -0.965151, -0.261695
9.17, -0.967719, -0.252031
9.18, -0.970191, -0.242341
9.19, -0.972566, -0.232627
9.20, -0.974844, -0.222890
9.21, -0.977024, -0.213130
9.22, -0.979106, -0.203350
9.23, -0.981091, -0.193549
9.24, -0.982977, -0.183728
9.25, -0.984765, -0.173889
9.26, -0.986455, -0.164033
9.27, -0.988046, -0.154161
9.28, -0.989538, -0.144273
9.29, -0.990931, -0.134370
9.30, -0.992225, -0.124454
9.31, -0.993420, -0.114526
9.32, -0.994516, -0.104586
9.33, -0.995512, -0.094636
9.34, -0.996409, -0.084676
9.35, -0.997205, -0.074708
9.36, -0.997903, -0.064733
9.37, -0.998500, -0.054751
9.38, -0.998998, -0.044763
9.39, -0.999395, -0.034771
9.40, -0.999693, -0.024775
9.41, -0.999891, -0.014777
9.42, -0.999989, -0.004778
9.43, -0.999986, 0.005222
9.44, -0.999884, 0.015221
9.45, -0.999682, 0.025219
9.46, -0.999380, 0.035215
9.47, -0.998978, 0.045207
9.48, -0.998476, 0.055194
9.49, -0.997874, 0.065176
9.50, -0.997172, 0.075151
9.51, -0.996371, 0.085119
9.52, -0.995470, 0.095078
9.53, -0.994469, 0.105028
9.54, -0.993369, 0.114967
9.55, -0.992170, 0.124895
9.56, -0.990871, 0.134810
9.57, -0.989474, 0.144712
9.58, -0.987977, 0.154599
9.59, -0.986382, 0.164471
9.60, -0.984688, 0.174327
9.61, -0.982895, 0.184165
9.62, -0.981005, 0.193984
9.63, -0.979016, 0.203785
9.64, -0.976929, 0.213564
9.65, -0.974745, 0.223323
9.66, -0.972463, 0.233059
9.67, -0.970083, 0.242772
9.68, -0.967607, 0.252460
9.69, -0.965034, 0.262124
9.70, -0.962365, 0.271761
9.71, -0.959599, 0.281371
9.72, -0.956738, 0.290952
9.73, -0.953780, 0.300505
9.74, -0.950728, 0.310028
9.75, -0.947580, 0.319519
9.76, -0.944337, 0.328979
9.77, -0.941000, 0.338406
9.78, -0.937569, 0.347799
9.79, -0.934044, 0.357157
9.80, -0.930426, 0.366479
9.81, -0.926715, 0.375765
9.82, -0.922911, 0.385013
9.83, -0.919015, 0.394223
9.84, -0.915027, 0.403393
9.85, -0.910947, 0.412523
9.86, -0.906776, 0.421612
9.87, -0.902515, 0.430658
9.88, -0.898163, 0.439662
9.89, -0.893722, 0.448621
9.90, -0.889191, 0.457536
9.91, -0.884571, 0.466405
9.92, -0.879863, 0.475227
9.93, -0.875067, 0.484002
9.94, -0.870183, 0.492728
9.95, -0.865213, 0.501405
9.96, -0.860155, 0.510032
9.97, -0.855012, 0.518608
9.98, -0.849783, 0.527132
9.99, -0.844470, 0.535603
10.00, -0.839072, 0.544021
